product_id,product_name,product_quantity,product_price,date_updated
1,Bagel - Whole White Sesame,430,97,11/1/2018
2,Sauce - Caesar Dressing,16,825,4/10/2019
3,Shiratamako - Rice Flour,799,71,3/7/2018
4,Tart - Raisin And Pecan,106,86,1/18/2019
5,Radish,247,22,11/6/2018
6,Juice - V8 Splash,67,115,1/13/2018
7,Red Currants,677,49,10/1/2018
8,Soup - Base Broth Beef,544,62,3/9/2019
9,Tomatoes Tear Drop Yellow,64,73,2/9/2019
10,Mussels - Cultivated,934,24,7/31/2018
11,"Bread - Crumbs, Bulk",449,88,1/12/2019
12,"Beans - Long, Chinese",473,47,9/22/2018
13,"Beans - Navy, Dry",460,44,1/20/2018
14,"Basil - Dry, Rubbed",869,21,2/4/2018
15,Apple - Granny Smith,506,72,1/12/2018
16,"Lid - High Heat, Super Clear",123,5,2/9/2018
17,Oranges - Navel,478,46,6/6/2018
18,Berry Brulee,759,50,8/25/2018
19,Lobster - Canned Premium,761,57,4/15/2018
20,Ham - Procutinni,570,8,1/9/2019
21,Veal - Ground,767,5,12/19/2018
22,Oil - Cooking Spray,420,6,6/11/2018
23,"Extract - Vanilla,artificial",291,20,6/8/2018
24,"Mushroom - Porcini, Dry",814,71,7/26/2018
25,Wine - Chateau Bonnet,741,54,3/10/2018
